date,series_id,value,realtime_start,realtime_end
1950-01-01,LABSHPUSA156NRUG,0.6283628940582275,2024-12-13,2024-12-13
1951-01-01,LABSHPUSA156NRUG,0.6337317824363708,2024-12-13,2024-12-13
1952-01-01,LABSHPUSA156NRUG,0.644851565361023,2024-12-13,2024-12-13
1953-01-01,LABSHPUSA156NRUG,0.6444960236549377,2024-12-13,2024-12-13
1954-01-01,LABSHPUSA156NRUG,0.6370519995689392,2024-12-13,2024-12-13
1955-01-01,LABSHPUSA156NRUG,0.626844048500061,2024-12-13,2024-12-13
1956-01-01,LABSHPUSA156NRUG,0.6404278874397278,2024-12-13,2024-12-13
1957-01-01,LABSHPUSA156NRUG,0.6386847496032715,2024-12-13,2024-12-13
1958-01-01,LABSHPUSA156NRUG,0.635847270488739,2024-12-13,2024-12-13
1959-01-01,LABSHPUSA156NRUG,0.6293543577194214,2024-12-13,2024-12-13
1960-01-01,LABSHPUSA156NRUG,0.6367416977882385,2024-12-13,2024-12-13
1961-01-01,LABSHPUSA156NRUG,0.6337034106254578,2024-12-13,2024-12-13
1962-01-01,LABSHPUSA156NRUG,0.6291072964668274,2024-12-13,2024-12-13
1963-01-01,LABSHPUSA156NRUG,0.6263846755027771,2024-12-13,2024-12-13
1964-01-01,LABSHPUSA156NRUG,0.6243788003921509,2024-12-13,2024-12-13
1965-01-01,LABSHPUSA156NRUG,0.6193597912788391,2024-12-13,2024-12-13
1966-01-01,LABSHPUSA156NRUG,0.6228949427604675,2024-12-13,2024-12-13
1967-01-01,LABSHPUSA156NRUG,0.630079448223114,2024-12-13,2024-12-13
1968-01-01,LABSHPUSA156NRUG,0.634225606918335,2024-12-13,2024-12-13
1969-01-01,LABSHPUSA156NRUG,0.6438753008842468,2024-12-13,2024-12-13
1970-01-01,LABSHPUSA156NRUG,0.6489855647087097,2024-12-13,2024-12-13
1971-01-01,LABSHPUSA156NRUG,0.63764888048172,2024-12-13,2024-12-13
1972-01-01,LABSHPUSA156NRUG,0.6394450664520264,2024-12-13,2024-12-13
1973-01-01,LABSHPUSA156NRUG,0.6406667232513428,2024-12-13,2024-12-13
1974-01-01,LABSHPUSA156NRUG,0.6409685611724854,2024-12-13,2024-12-13
1975-01-01,LABSHPUSA156NRUG,0.6255608201026917,2024-12-13,2024-12-13
1976-01-01,LABSHPUSA156NRUG,0.6215898990631104,2024-12-13,2024-12-13
1977-01-01,LABSHPUSA156NRUG,0.6215961575508118,2024-12-13,2024-12-13
1978-01-01,LABSHPUSA156NRUG,0.6222950220108032,2024-12-13,2024-12-13
1979-01-01,LABSHPUSA156NRUG,0.62261962890625,2024-12-13,2024-12-13
1980-01-01,LABSHPUSA156NRUG,0.6243488788604736,2024-12-13,2024-12-13
1981-01-01,LABSHPUSA156NRUG,0.6142160296440125,2024-12-13,2024-12-13
1982-01-01,LABSHPUSA156NRUG,0.6167433261871338,2024-12-13,2024-12-13
1983-01-01,LABSHPUSA156NRUG,0.6038522720336914,2024-12-13,2024-12-13
1984-01-01,LABSHPUSA156NRUG,0.6019517779350281,2024-12-13,2024-12-13
1985-01-01,LABSHPUSA156NRUG,0.6023015379905701,2024-12-13,2024-12-13
1986-01-01,LABSHPUSA156NRUG,0.6077370047569275,2024-12-13,2024-12-13
1987-01-01,LABSHPUSA156NRUG,0.6159725785255432,2024-12-13,2024-12-13
1988-01-01,LABSHPUSA156NRUG,0.6206663846969604,2024-12-13,2024-12-13
1989-01-01,LABSHPUSA156NRUG,0.6118586659431458,2024-12-13,2024-12-13
1990-01-01,LABSHPUSA156NRUG,0.6151978969573975,2024-12-13,2024-12-13
1991-01-01,LABSHPUSA156NRUG,0.6150988340377808,2024-12-13,2024-12-13
1992-01-01,LABSHPUSA156NRUG,0.620048463344574,2024-12-13,2024-12-13
1993-01-01,LABSHPUSA156NRUG,0.6141963005065918,2024-12-13,2024-12-13
1994-01-01,LABSHPUSA156NRUG,0.6079543828964233,2024-12-13,2024-12-13
1995-01-01,LABSHPUSA156NRUG,0.6073774099349976,2024-12-13,2024-12-13
1996-01-01,LABSHPUSA156NRUG,0.607116162776947,2024-12-13,2024-12-13
1997-01-01,LABSHPUSA156NRUG,0.609609842300415,2024-12-13,2024-12-13
1998-01-01,LABSHPUSA156NRUG,0.6230132579803467,2024-12-13,2024-12-13
1999-01-01,LABSHPUSA156NRUG,0.6259886622428894,2024-12-13,2024-12-13
2000-01-01,LABSHPUSA156NRUG,0.6370731592178345,2024-12-13,2024-12-13
2001-01-01,LABSHPUSA156NRUG,0.6403365731239319,2024-12-13,2024-12-13
2002-01-01,LABSHPUSA156NRUG,0.6296166777610779,2024-12-13,2024-12-13
2003-01-01,LABSHPUSA156NRUG,0.6214457154273987,2024-12-13,2024-12-13
2004-01-01,LABSHPUSA156NRUG,0.6171151399612427,2024-12-13,2024-12-13
2005-01-01,LABSHPUSA156NRUG,0.6056353449821472,2024-12-13,2024-12-13
2006-01-01,LABSHPUSA156NRUG,0.6055108904838562,2024-12-13,2024-12-13
2007-01-01,LABSHPUSA156NRUG,0.6040037274360657,2024-12-13,2024-12-13
2008-01-01,LABSHPUSA156NRUG,0.6040886044502258,2024-12-13,2024-12-13
2009-01-01,LABSHPUSA156NRUG,0.59113609790802,2024-12-13,2024-12-13
2010-01-01,LABSHPUSA156NRUG,0.5879995822906494,2024-12-13,2024-12-13
2011-01-01,LABSHPUSA156NRUG,0.5926562547683716,2024-12-13,2024-12-13
2012-01-01,LABSHPUSA156NRUG,0.595092236995697,2024-12-13,2024-12-13
2013-01-01,LABSHPUSA156NRUG,0.5930569767951965,2024-12-13,2024-12-13
2014-01-01,LABSHPUSA156NRUG,0.5942705869674683,2024-12-13,2024-12-13
2015-01-01,LABSHPUSA156NRUG,0.5956462621688843,2024-12-13,2024-12-13
2016-01-01,LABSHPUSA156NRUG,0.5937725305557251,2024-12-13,2024-12-13
2017-01-01,LABSHPUSA156NRUG,0.5961511135101318,2024-12-13,2024-12-13
2018-01-01,LABSHPUSA156NRUG,0.5943259596824646,2024-12-13,2024-12-13
2019-01-01,LABSHPUSA156NRUG,0.5970911383628845,2024-12-13,2024-12-13
